idx,DATA,Zona,Módulo,Código,Loc. Fina+Causa parada OU defeito API,Num,Duração,Carros,Comentário,O. T.,Desc_Zona,FAMÍLIA EQUIPAMENTO,Desc_Acc
54,13/01/2022,C_BM1_Z1,A1RBMANUT,G12,Estrutura / suporte Deformado,1,3.625,0.83,Acompanhar: apoio de lateral solto,,C_BM1_Z1,6 - Robôs,C_BM1_Z1 - A1RBMANUT - Estrutura / suporte Deformado
55,13/01/2022,C_BM2_Z1,F4RBMASTI,B3N,Contaminação mastic,1,3.400,0.77,Def mastic,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F4RBMASTI - Contaminação mastic
56,13/01/2022,C_BM1_Z1,A1RBMANUT,BAA,Peça não carregada auto,1,1.578,0.36,Lateral depositada fora de pos.,,C_BM1_Z1,6 - Robôs,C_BM1_Z1 - A1RBMANUT - Peça não carregada auto
57,13/01/2022,C_FM1_Z1,B0TABLERO,CM3,Skid fora de serviço,1,1.417,0.32,skid fora de pos.,,C_FM1_Z1,18 - Mesas,C_FM1_Z1 - B0TABLERO - Skid fora de serviço
58,14/01/2022,C_BM3_Z2,N0TABLERO,B6Y,Mesa mal posicionada,1,0.538,0.12,skid parou antes da posicao,,C_BM3_Z2,18 - Mesas,C_BM3_Z2 - N0TABLERO - Mesa mal posicionada
59,17/01/2022,C_FM1_Z4,E4RBPOINT,,Z4: E4 Defeito COA (Tool Changer),1,10.667,2.43,,,C_FM1_Z4,6 - Robôs,C_FM1_Z4 - E4RBPOINT - Z4: E4 Defeito COA (Tool Changer)
60,17/01/2022,C_FM2_Z4,P1TABLERO,CM6,Problemas no skid,1,3.932,0.90,skid 108 parou fora da posição,,C_FM2_Z4,18 - Mesas,C_FM2_Z4 - P1TABLERO - Problemas no skid
61,17/01/2022,C_FM1_Z4,E0TABLERO,CM6,Problemas no skid,1,3.533,0.80,Skid 18 fora de posição na mesa,,C_FM1_Z4,18 - Mesas,C_FM1_Z4 - E0TABLERO - Problemas no skid
62,17/01/2022,C_BM3_Z1,L4RBPOINT,7,Z1: L4 Def. Robo em colisão,1,3.488,0.79,,,C_BM3_Z1,6 - Robôs,C_BM3_Z1 - L4RBPOINT - Z1: L4 Def. Robo em colisão
63,17/01/2022,C_BM1_Z1,A1RBMANUT,BAA,Peça não carregada auto,1,2.318,0.53,lateral esquerda fora da posição,,C_BM1_Z1,6 - Robôs,C_BM1_Z1 - A1RBMANUT - Peça não carregada auto
64,18/01/2022,C_FM2_Z1,J3RBPOINT,BD7,Colagem eletrodo (Manut),1,26.543,6.04,Colage: J3: Quebra do PE J4 OT1031587222,,C_FM2_Z1,6 - Robôs,C_FM2_Z1 - J3RBPOINT - Colagem eletrodo (Manut)
65,18/01/2022,C_FM1_Z1,B2RBMANUT,B0V,Falha ligação elétrica,1,20.985,4.78,Falta alimentacao disjustor OTNº1031587274,,C_FM1_Z1,15 - Ilha (Sw: armário: instalação elétrica geral),C_FM1_Z1 - B2RBMANUT - Falha ligação elétrica
66,18/01/2022,C_FM1_Z1,A0TABLERO,CM6,Problemas no skid,1,11.660,2.65,Troca do pino de setup  skid 82,,C_FM1_Z1,19 - Skid / Pallet,C_FM1_Z1 - A0TABLERO - Problemas no skid
67,18/01/2022,C_BM2_Z2,G7RBMANUT,DMZ,Outra parada Potência,1,3.493,0.80,FALHA POTENCIA CABO MAL CONECTADO PAINEL,,C_BM2_Z2,15 - Ilha (Sw: armário: instalação elétrica geral),C_BM2_Z2 - G7RBMANUT - Outra parada Potência
68,18/01/2022,C_FM1_Z4,E0TABLERO,CM6,Problemas no skid,1,1.860,0.42,Skid 55 fora de posição na mesa,,C_FM1_Z4,18 - Mesas,C_FM1_Z4 - E0TABLERO - Problemas no skid
69,18/01/2022,C_BM2_Z2,COM1,DMZ,Outra parada Potência,1,1.647,0.37,FALHA POTÊNCIA CABO MAL CONECTADO PAINEL,,C_BM2_Z2,15 - Ilha (Sw: armário: instalação elétrica geral),C_BM2_Z2 - COM1 - Outra parada Potência
70,18/01/2022,C_BM2_Z2,G7RBMANUT,EW1,Problema controle de visão,3,0.738,0.17,Valores diferente entre PLC e ISRA,,C_BM2_Z2,6 - Robôs,C_BM2_Z2 - G7RBMANUT - Problema controle de visão
71,19/01/2022,C_FM1_Z4,E3RBPOINT,D82,Componentes da rede fora de serviço,2,4.641,1.06,def ativacao profinet,,C_FM1_Z4,15 - Ilha (Sw: armário: instalação elétrica geral),C_FM1_Z4 - E3RBPOINT - Componentes da rede fora de serviço
72,19/01/2022,C_BM2_Z1,F0TABLERO,EP4,Pb centrage palette,1,4.638,1.06,Skid fora de posicao: reposicionado,,C_BM2_Z1,18 - Mesas,C_BM2_Z1 - F0TABLERO - Pb centrage palette
73,19/01/2022,C_BM2_Z2,G0TABLERO,B6Y,Mesa mal posicionada,1,3.732,0.85,skid fora de pos.,,C_BM2_Z2,18 - Mesas,C_BM2_Z2 - G0TABLERO - Mesa mal posicionada
74,20/01/2022,MN1_Z9,R0,E22,Problema de freio,1,2.602,0.59,falha de freio,,,6 - Robôs,MN1_Z9 - R0 - Problema de freio
75,20/01/2022,C_FM1_Z2,C3RBPOINT,BD7,Colagem eletrodo (Manut),1,2.387,0.54,Colagem de eletrodo,,C_FM1_Z2,6 - Robôs,C_FM1_Z2 - C3RBPOINT - Colagem eletrodo (Manut)
76,20/01/2022,C_BM2_Z2,G0TABLERO,CM6,Problemas no skid,1,0.808,0.18,skid fora de pos.,,C_BM2_Z2,18 - Mesas,C_BM2_Z2 - G0TABLERO - Problemas no skid
77,21/01/2022,C_BM2_Z2,G0TABLERO,CM6,Problemas no skid,1,3.663,0.83,Variacao no skid,,C_BM2_Z2,18 - Mesas,C_BM2_Z2 - G0TABLERO - Problemas no skid
78,21/01/2022,C_BM1_Z1,A0TABLERO,CM6,Problemas no skid,1,0.237,0.05,Skid fora de pos.,,C_BM1_Z1,18 - Mesas,C_BM1_Z1 - A0TABLERO - Problemas no skid
79,24/01/2022,C_FM1_Z1,A0TABLERO,CM6,Problemas no skid,1,2.358,0.54,Skid com pino de setup quebrado,,C_FM1_Z1,19 - Skid / Pallet,C_FM1_Z1 - A0TABLERO - Problemas no skid
80,24/01/2022,C_BM2_Z1,F1RBMASTI,F52,Pb temperatura chassi,1,1.445,0.33,Excesso de temperatura,,C_BM2_Z1,16 - Grav chassis,C_BM2_Z1 - F1RBMASTI - Pb temperatura chassi
81,25/01/2022,C_BM3_Z3,P3RBMANUT,B08,Captador desregulado,3,48.950,11.14,Colisao dispositivo com peça OT1031643630,,C_BM3_Z3,1 - Dispositivos,C_BM3_Z3 - P3RBMANUT - Captador desregulado
82,25/01/2022,C_BM2_Z2,G0TABLERO,CM6,Problemas no skid,1,1.008,0.23,Skid parou antes da pos.,,C_BM2_Z2,18 - Mesas,C_BM2_Z2 - G0TABLERO - Problemas no skid
83,26/01/2022,MN1_Z2,B1MSROLOS,Q2Z,Outra parada Detecção / Intrusão / Segurança,1,12.715,2.89,Skid 75 desarmou a barreira durante passag,1031644562,MN1_Z2,18 - Mesas,MN1_Z2 - B1MSROLOS - Outra parada Detecção / Intrusão / Segurança
84,26/01/2022,C_BM2_Z2,G0TABLERO,CM6,Problemas no skid,1,2.018,0.46,Skid acionando DPA antes da posicao,,C_BM2_Z2,19 - Skid / Pallet,C_BM2_Z2 - G0TABLERO - Problemas no skid
85,26/01/2022,C_FM1_Z4,E0TABLERO,D7Z,Outra parada Pb rede API,2,1.859,0.42,Def rede Z4SPA2,,C_FM1_Z4,15 - Ilha (Sw: armário: instalação elétrica geral),C_FM1_Z4 - E0TABLERO - Outra parada Pb rede API
86,26/01/2022,C_BM2_Z1,F4RBMASTI,DQ4,Pb pressão Distrib. / Bombeamento,1,1.212,0.28,Falha de pressao na aplicacao,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F4RBMASTI - Pb pressão Distrib. / Bombeamento
87,27/01/2022,C_BM2_Z1,F1RBMASTI,FLE,Aquecimento da cola HS,1,2.695,0.61,Excesso de temperatura,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F1RBMASTI - Aquecimento da cola HS
88,27/01/2022,C_FM1_Z1,B1RBMANUT,BAA,Peça não carregada auto,1,2.540,0.58,Peca se movimentou no gripper,,C_FM1_Z1,5 - Gripper,C_FM1_Z1 - B1RBMANUT - Peça não carregada auto
89,01/02/2022,C_FM1_Z1,A0TABLERO,CM6,Problemas no skid,1,0.607,0.13,Skid fora de pos.,,C_FM1_Z1,18 - Mesas,C_FM1_Z1 - A0TABLERO - Problemas no skid
90,02/02/2022,C_FM1_Z1,A0TABLERO,CM6,Problemas no skid,1,4.755,1.02,Skid fora de pos.,,C_FM1_Z1,18 - Mesas,C_FM1_Z1 - A0TABLERO - Problemas no skid
91,02/02/2022,MN1_Z2,B1MSROLOS,CM3,Skid fora de serviço,1,3.328,0.71,skid parado na frente da barreira,,MN1_Z2,19 - Skid / Pallet,MN1_Z2 - B1MSROLOS - Skid fora de serviço
92,02/02/2022,C_BM2_Z1,F4RBMASTI,FLL,Circuito fiberis sem ar,1,3.063,0.66,Falha de pressao,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F4RBMASTI - Circuito fiberis sem ar
93,03/02/2022,C_FM1_Z1,A0TABLERO,CM3,Skid fora de serviço,2,4.899,1.05,skid com pino quebrado,,C_FM1_Z1,19 - Skid / Pallet,C_FM1_Z1 - A0TABLERO - Skid fora de serviço
94,03/02/2022,C_FM1_Z4,E9MONMANU,CYZ,Outra parada ajuste,1,3.430,0.73,Ajuste pos. sensor,,C_FM1_Z4,1 - Dispositivos,C_FM1_Z4 - E9MONMANU - Outra parada ajuste
95,03/02/2022,C_FM1_Z4,E8MBACCUS,DK5,Cilindro hidraulico Fora de serviço,1,2.928,0.63,Cilindro travado na esteira,,C_FM1_Z4,12 - Transportador,C_FM1_Z4 - E8MBACCUS - Cilindro hidraulico Fora de serviço
96,07/02/2022,C_BM2_Z1,F0TABLERO,CM3,Skid fora de serviço,1,0.843,0.18,SKID FORA DE POS,,C_BM2_Z1,18 - Mesas,C_BM2_Z1 - F0TABLERO - Skid fora de serviço
97,07/02/2022,C_BM2_Z2,G0TABLERO,CM3,Skid fora de serviço,1,0.237,0.05,SKID FORA DE POS.,,C_BM2_Z2,18 - Mesas,C_BM2_Z2 - G0TABLERO - Skid fora de serviço
98,08/02/2022,C_FM1_Z1,A0TABLERO,D2Z,Outra parada sensor,2,0.303,0.06,Oscilação do sensor.,,C_FM1_Z1,18 - Mesas,C_FM1_Z1 - A0TABLERO - Outra parada sensor
99,09/02/2022,Z2_TACDC,L3,D5Z,Outra parada Pb software,1,26.565,5.68,Erro de movimentação do posicionador.,,,15 - Ilha (Sw: armário: instalação elétrica geral),Z2_TACDC - L3 - Outra parada Pb software
100,09/02/2022,C_BM2_Z1,F4RBMASTI,I81,Crabot presse injection plastique HS,1,2.433,0.52,Falha de pressao na aplicacao,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F4RBMASTI - Crabot presse injection plastique HS
101,09/02/2022,C_FM1_Z1,A0TABLERO,CM3,Skid fora de serviço,1,2.230,0.48,skid fora de pos.,,C_FM1_Z1,18 - Mesas,C_FM1_Z1 - A0TABLERO - Skid fora de serviço
102,09/02/2022,C_FM1_Z5,G1TABLERO,CM3,Skid fora de serviço,1,1.012,0.22,skid passou da pos.,,C_FM1_Z5,18 - Mesas,C_FM1_Z5 - G1TABLERO - Skid fora de serviço
103,10/02/2022,C_FM1_Z4,E8MBACCUS,I3Z,Outra falha Sensores,3,13.713,2.93,Sensor solto.,,C_FM1_Z4,1 - Dispositivos,C_FM1_Z4 - E8MBACCUS - Outra falha Sensores
104,10/02/2022,C_FM2_Z2,L1RBPOINT,BD5,Colagem eletrodo + Nº pt,1,10.067,2.15,ELETRODO COLOU NA PEÇA ESCAPOU APÓS TROCA,,C_FM2_Z2,6 - Robôs,C_FM2_Z2 - L1RBPOINT - Colagem eletrodo + Nº pt
105,10/02/2022,C_BM3_Z2,N0TABLERO,EPN,Ultrapassagem palet,1,4.638,0.99,Ultrapassagem de skid: reposicionado.,,C_BM3_Z2,18 - Mesas,C_BM3_Z2 - N0TABLERO - Ultrapassagem palet
106,11/02/2022,C_FM2_Z1,H0TABLERO,CM3,Skid fora de serviço,1,2.763,0.59,skid fora de pos.,,C_FM2_Z1,18 - Mesas,C_FM2_Z1 - H0TABLERO - Skid fora de serviço
107,02/03/2022,C_BM2_Z1,F1RBMASTI,B3Z,Outras paradas mastic/cola,3,5.997,1.35,falha temperatura ,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F1RBMASTI - Outras paradas mastic/cola
108,09/03/2022,C_BM2_Z1,E3RBPOINT,BD5,Colagem eletrodo + Nº pt,1,5.488,1.23,COLAGEM DE ELETRODO APÓS TROCA DO MESMO,,C_BM2_Z1,4 - Pinças robô,C_BM2_Z1 - E3RBPOINT - Colagem eletrodo + Nº pt
109,09/03/2022,C_BM2_Z1,F4RBMASTI,B33,*Buse colle ou mastic HS,3,5.188,1.17,Falha mastic,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F4RBMASTI - *Buse colle ou mastic HS
110,10/03/2022,C_BM2_Z1,F4RBMASTI,B33,*Buse colle ou mastic HS,3,7.540,1.69,falha de pressao na aplicacao,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F4RBMASTI - *Buse colle ou mastic HS
111,10/03/2022,C_BM2_Z2,G5RBMANUT,EW9,Problema de leitura,2,6.896,1.55,Carro com agua: após troca de eletrodos,,C_BM2_Z2,15 - Ilha (Sw: armário: instalação elétrica geral),C_BM2_Z2 - G5RBMANUT - Problema de leitura
112,10/03/2022,C_BM2_Z1,E1RBPOINT,BD5,Colagem eletrodo + Nº pt,1,6.807,1.53,COLAGEM DE ELETRODO APÓS TROCA,,C_BM2_Z1,4 - Pinças robô,C_BM2_Z1 - E1RBPOINT - Colagem eletrodo + Nº pt
113,10/03/2022,C_FM1_Z1,A0TABLERO,CM6,Problemas no skid,1,3.758,0.84,skid sem setup,,C_FM1_Z1,19 - Skid / Pallet,C_FM1_Z1 - A0TABLERO - Problemas no skid
114,10/03/2022,C_FM1_Z1,A0TABLERO,G06,Referência defeituosa,1,2.782,0.63,Falha setup modelo,,C_FM1_Z1,19 - Skid / Pallet,C_FM1_Z1 - A0TABLERO - Referência defeituosa
115,10/03/2022,C_BM1_Z3,C02TABLERO,E41,Rolete / roda rolagem HS,1,2.282,0.51,Skid fora da posicao de leitura: reset,,C_BM1_Z3,18 - Mesas,C_BM1_Z3 - C02TABLERO - Rolete / roda rolagem HS
116,10/03/2022,C_BM1_Z2,B0TABLERO,E41,Rolete / roda rolagem HS,1,0.068,0.02,SKID PAROU ANTES DA POSIÇÃO CORRETA,,C_BM1_Z2,18 - Mesas,C_BM1_Z2 - B0TABLERO - Rolete / roda rolagem HS
117,10/03/2022,C_BM1_Z2,B0TABLERO,EW9,Problema de leitura,1,0.067,0.02,skid parou fora da posição correta,,C_BM1_Z2,18 - Mesas,C_BM1_Z2 - B0TABLERO - Problema de leitura
118,15/08/2022,MN1_Z2,B1MSROLOS,CM5,Problema de geometria suporte,1,5.443,1.03,skid 87 empenado gerou falha na barreira,1033142253,MN1_Z2,18 - Mesas,MN1_Z2 - B1MSROLOS - Problema de geometria suporte
119,16/08/2022,C_BM1_Z3,C00MONMANU,E37,Dur mecânica do movimento,1,105.908,20.71,Def. PMiA1 falha geral OT1033143028,,C_BM1_Z3,18 - Mesas,C_BM1_Z3 - C00MONMANU - Dur mecânica do movimento
120,16/08/2022,C_BM2_Z1,F1RBMASTI,B3C,*Pb doseur colle ou mastic,1,1.212,0.24,Pressao de aplicacao,,C_BM2_Z1,10 - Mastic,C_BM2_Z1 - F1RBMASTI - *Pb doseur colle ou mastic
